LATITUDE,LONGITUDE,HourlyPrecipitation,HourlyWindSpeed,DATES
40.77898,-73.96925,0,7.0,2009-01-11T03:26:00
40.77898,-73.96925,0.01,10.0,2009-01-11T03:51:00
40.77898,-73.96925,0,7.0,2009-01-11T04:11:00
40.77898,-73.96925,0,6.0,2009-01-11T04:30:00
40.77898,-73.96925,0.01,6.0,2009-01-11T04:51:00
40.77898,-73.96925,0,5.0,2009-01-11T05:21:00
40.77898,-73.96925,0,6.0,2009-01-11T05:51:00
40.77898,-73.96925,0.02,10.0,2009-01-11T12:51:00
40.77898,-73.96925,0.02,9.0,2009-01-11T13:51:00
40.77898,-73.96925,0,10.0,2009-01-15T05:44:00
40.77898,-73.96925,0,7.0,2009-01-15T05:51:00
40.77898,-73.96925,0,6.0,2009-01-15T06:12:00
40.77898,-73.96925,0,8.0,2009-01-15T06:31:00
40.77898,-73.96925,0.01,3.0,2009-01-15T06:41:00
40.77898,-73.96925,0.01,6.0,2009-01-15T06:51:00
40.77898,-73.96925,0,7.0,2009-01-15T07:00:00
40.77898,-73.96925,0,6.0,2009-01-15T07:07:00
40.77898,-73.96925,0,7.0,2009-01-15T07:14:00
40.77898,-73.96925,0.01,5.0,2009-01-15T07:23:00
40.77898,-73.96925,0.01,7.0,2009-01-15T07:37:00
40.77898,-73.96925,0.01,11.0,2009-01-15T07:51:00
40.77898,-73.96925,0,11.0,2009-01-15T08:05:00
40.77898,-73.96925,0,11.0,2009-01-15T08:10:00
40.77898,-73.96925,0,9.0,2009-01-15T08:48:00
40.77898,-73.96925,0.01,10.0,2009-01-15T08:51:00
40.77898,-73.96925,0.01,9.0,2009-01-15T09:51:00
40.77898,-73.96925,0,8.0,2009-01-15T10:24:00
40.77898,-73.96925,0,6.0,2009-01-15T10:38:00
40.77898,-73.96925,0,0.0,2009-01-15T10:51:00
40.77898,-73.96925,0.01,8.0,2009-01-15T11:29:00
40.77898,-73.96925,0.01,6.0,2009-01-15T11:35:00
40.77898,-73.96925,0.01,5.0,2009-01-15T11:51:00
40.77898,-73.96925,0.32,7.0,2009-01-17T08:51:00
40.77898,-73.96925,0.87,5.0,2009-01-17T09:51:00
40.77898,-73.96925,0.34,5.0,2009-01-17T10:51:00
40.77898,-73.96925,1.43,7.0,2009-01-17T11:51:00
40.77898,-73.96925,0.23,5.0,2009-01-17T12:51:00
40.77898,-73.96925,0.21,6.0,2009-01-17T13:51:00
40.77898,-73.96925,0.59,5.0,2009-01-17T14:51:00
40.77898,-73.96925,1.07,0.0,2009-01-17T15:51:00
40.77898,-73.96925,1.33,5.0,2009-01-17T16:51:00
40.77898,-73.96925,0.12,7.0,2009-01-17T17:51:00
40.77898,-73.96925,1.41,0.0,2009-01-17T18:51:00
40.77898,-73.96925,0.54,5.0,2009-01-17T19:51:00
40.77898,-73.96925,0.53,5.0,2009-01-17T20:51:00
40.77898,-73.96925,0.69,7.0,2009-01-17T21:51:00
40.77898,-73.96925,1.23,6.0,2009-01-17T22:51:00
40.77898,-73.96925,0.55,0.0,2009-01-17T23:21:00
40.77898,-73.96925,1.03,0.0,2009-01-17T23:51:00
